Title,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Subtitle,Featured,Cover,Article URL,Published,Publication,Publication URL
"Against “shoot first, ask questions later” — my response to “User research is overrated”",against-shoot-first-ask-questions-later-my-response-to-user-research-is-overrated,63020a6ad411038554d74169,63020a6ad411035302d741e1,Wed Aug 17 2022 21:53:57 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:36:43 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:37:07 GMT+0000 (Coordinated Universal Time),My 2 cents about the discussion emerging in the research and design community today.,true,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/63020a6ad411038404d74175_1_wpQQwOdCWz72gsyg0y6Geg.png,https://blog.prototypr.io/against-shoot-first-ask-questions-later-my-response-to-user-research-is-overrated-5389f21fb20,Fri Feb 17 2017 00:00:00 GMT+0000 (Coordinated Universal Time),Prototypr,https://blog.prototypr.io/
I am not a real person.,i-am-not-a-real-person,63020a6ad411038554d74169,64967e78c53904c45ebb2672,Sat Jun 24 2023 05:26:16 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:26:16 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),"It’s easy to find a job on LinkedIn when you don’t actually exist, but are still #OpenToWork",false,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/64967e75d452680d29750b8b_1_txqBUt16DKkXFtmiQrhysw.webp,https://medium.com/@render_ghost/i-am-not-a-real-person-71a7876923b4,Fri Dec 09 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Personal Blog,https://medium.com/@render_ghost/
Is your phone harassing you with constant interruption? Make it stop.,is-your-phone-harassing-you-with-constant-interruption-make-it-stop,63020a6ad411038554d74169,63020a6ad411032f38d741e3,Wed Aug 17 2022 22:01:06 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:30:46 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),How to take control of contant disruption and needless distractions to your improve focus and mental health.,false,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/63020a6ad4110399b7d74176_1_E_KrzykTOVP-rKgo42CaBw.png,https://medium.com/@render_ghost/your-smartphone-is-harassing-you-with-unwelcome-interruptions-stop-it-80af8fad3435,Sat Jan 07 2017 00:00:00 GMT+0000 (Coordinated Universal Time),Personal Blog,https://medium.com/@render_ghost
Letting the country be its own map.,letting-the-country-be-its-own-map,63020a6ad411038554d74169,63020a6ad411032c68d741e2,Wed Aug 17 2022 21:59:15 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:30:39 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),Imagining pattern design tools to build systems for the web.,false,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/63020a6ad411033642d74177_1_u9hU0I7uFYtE5SHZSt6eYw.png,https://medium.com/framer-prototyping/letting-the-country-be-its-own-map-d723b47b5ecc,Wed Aug 24 2016 00:00:00 GMT+0000 (Coordinated Universal Time),Framer,https://medium.com/framer-prototyping
Mastering the art of AI collaboration,mastering-the-art-of-ai-collaboration,63020a6ad411038554d74169,64967d7e6cd6457bafdd1490,Sat Jun 24 2023 05:22:06 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:22:06 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),Strategies for achieving the best possible outcomes.,false,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/64967d6660567a7836f3d165_1_czo3tnQWPYd1dnyCKJBtgg.webp,https://bootcamp.uxdesign.cc/mastering-the-art-of-ai-collaboration-8eb422bb05ea,Thu Apr 20 2023 00:00:00 GMT+0000 (Coordinated Universal Time),Bootcamp,https://bootcamp.uxdesign.cc/
On desire paths.,on-desire-paths,63020a6ad411038554d74169,64967fe339adcad38fce2cff,Sat Jun 24 2023 05:32:19 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:32:19 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),Where design decisions and user intentions collide.,false,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/64967fc360a0e31c39dbcbed_1_WMTOIoKHjWJQHyloR-qe7A.webp,https://medium.com/@render_ghost/designer-know-your-place-c3fef11a19ce,Sat May 17 2014 00:00:00 GMT+0000 (Coordinated Universal Time),Personal Blog,https://medium.com/@render_ghost/
The best portfolio is one that gets you hired — Part 1: Storytelling,the-best-portfolio-is-one-that-gets-you-hired-part-1-storytelling,63020a6ad411038554d74169,63020a6ad411031f43d741df,Wed Aug 17 2022 21:46:31 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:36:09 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:37:07 GMT+0000 (Coordinated Universal Time),Morressier’s product design team explains how to tell an authentic and compelling story about yourself and use your portfolio to get the design roles you want.,true,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/63020a6ad41103eb50d74174_1_7XFt1OirbPaGk8LOswnzvg.png,https://bootcamp.uxdesign.cc/the-best-portfolio-is-one-that-gets-you-hired-part-1-storytelling-e139d2fd0f12,Tue Mar 15 2022 00:00:00 GMT+0000 (Coordinated Universal Time),BootCamp,https://bootcamp.uxdesign.cc/
The best portfolio is one that gets you hired — Part 2: Curation,the-best-portfolio-is-one-that-gets-you-hired-part-2-curation,63020a6ad411038554d74169,63020a6ad411031539d741e0,Wed Aug 17 2022 21:47:58 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:28:20 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),Morressier’s product design team explains how to curate and organise your portfolio to get the design roles you want.,false,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/63020a6ad41103f3bed74173_1_fJlYbqN21frh7S9UmMOPrg.png,https://medium.com/@render_ghost/the-best-portfolio-is-one-that-gets-you-hired-part-2-curation-20ab27697344,Tue Mar 15 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Bootcamp,https://bootcamp.uxdesign.cc/
The Prophetic Lens of Pixar’s Wall-E,the-prophetic-lens-of-pixars-wall-e,63020a6ad411038554d74169,64967d320b2841f15cf9d42d,Sat Jun 24 2023 05:20:50 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:20:50 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),A Dystopian Parable about the Inevitable Future of Humanity.,false,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/64967d1b0b2841f15cf9ca6b_0_aeGW0t1ySAxAywPr.webp,https://medium.com/@render_ghost/the-prophetic-lens-of-pixars-wall-e-1be009f5f11f,Fri May 19 2023 00:00:00 GMT+0000 (Coordinated Universal Time),Personal Blog,https://medium.com/@render_ghost
"The town square is on fire. Please disperse, and return to the safety of your homes.",the-town-square-is-on-fire-please-disperse-and-return-to-the-safety-of-your-homes,63020a6ad411038554d74169,64967eb340c50cc3a62d9bd3,Sat Jun 24 2023 05:27:15 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:27:15 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),"Now that we’re living through Twitter’s nosedive at the hands of the world’s smartest dumb-ass, many of us are reasonably debating where to go next.",false,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/64967e9fb42c05721c619737_0_SVKvUVnOXh1rD8Zc.webp,https://medium.com/@render_ghost/the-town-square-is-on-fire-please-disperse-and-return-to-the-safety-of-your-homes-abb98792a7ce,Sat Nov 19 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Personal Blog,https://medium.com/@render_ghost/
Why job posts fail to attract and engage top design talent (spoilers: they’re so so so incredibly boring),why-job-posts-fail-to-attract-and-engage-top-design-talent-spoilers-theyre-so-so-so-incredibly-boring,63020a6ad411038554d74169,64967ddd60567a7836f419cc,Sat Jun 24 2023 05:23:41 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:36:57 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:37:07 GMT+0000 (Coordinated Universal Time),Write engaging job posts that connect with valuable design candidates and don't put them to sleep.,false,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/64967dc4c5714ebd7a33a673_1_tmH_zNYh_xww0GYxcbz1yA.webp,https://bootcamp.uxdesign.cc/why-job-posts-fail-to-attract-and-engage-top-design-talent-spoilers-theyre-so-so-so-incredibly-e1d8e0b34b53,Sat Mar 18 2023 00:00:00 GMT+0000 (Coordinated Universal Time),Bootcamp,https://bootcamp.uxdesign.cc/
Your boss was probably right not to support your design ideas.,your-boss-was-probably-right-not-to-support-your-design-ideas,63020a6ad411038554d74169,64967e31860a8ebaefea7843,Sat Jun 24 2023 05:25:05 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 11:24:47 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 11:26:35 GMT+0000 (Coordinated Universal Time),"Business leaders don't care about design, and that's a good thing.",true,https://uploads-ssl.webflow.com/63020a6ad41103e186d7416a/649823e10fdcb656eae7e365_boss.png,https://bootcamp.uxdesign.cc/your-boss-was-right-to-not-support-your-design-project-ffc6bb956893,Sat Mar 11 2023 00:00:00 GMT+0000 (Coordinated Universal Time),Bootcamp,https://bootcamp.uxdesign.cc/
