Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Website,Type,Industry,City,Country,Logo
Brandwatch,brandwatch,6492fe188837ee33a22fed4d,6493050c606e51cb999dc8ba,Wed Jun 21 2023 14:11:24 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:13:33 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),https://www.brandwatch.com/,B2B,Consumer Intelligence,Brighton,UK,
EDF Energy,edf-energy,6492fe188837ee33a22fed4d,649304c7a2b9d1603236d4b8,Wed Jun 21 2023 14:10:15 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:13:42 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),https://www.edfenergy.com/about/innovation/challenge,B2C,Energy Generation & Supply,Brighton,UK,
Home Office,home-office,6492fe188837ee33a22fed4d,649679613d19cea8ea2caf00,Sat Jun 24 2023 05:04:33 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:10:39 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),https://www.gov.uk/government/organisations/home-office,,Government,London,UK,
LEO Pharma,leo-pharma,6492fe188837ee33a22fed4d,6492ff9e1cb5762c2192da9a,Wed Jun 21 2023 13:48:14 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:13:52 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),https://www.leo-pharma.com/,B2C,Pharmaceutical,Copenhagen,Denmark,
MediaTonic,mediatonic,6492fe188837ee33a22fed4d,649678eee54dbd7686a713a3,Sat Jun 24 2023 05:02:38 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:13:18 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),https://mediatonicgames.com/,B2B,Video games,Brighton,UK,
Morressier,morressier,6492fe188837ee33a22fed4d,6493046b403abc6e1ca59032,Wed Jun 21 2023 14:08:43 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:13:48 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),https://www.morressier.com/,B2B,Scientific Publishing,Berlin,Germany,
MyGoodPlanet,mygoodplanet,6492fe188837ee33a22fed4d,64967a690b2841f15cf81353,Sat Jun 24 2023 05:08:57 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:13:01 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),,B2C,Publishing,Dublin,Ireland,
Relentless Software,relentless-software,6492fe188837ee33a22fed4d,6496780b1624e29a27b7ecbc,Sat Jun 24 2023 04:58:51 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:13:28 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),http://www.relentless.co.uk/,B2B,Video games,Brighton,UK,
Scenestealer,scenestealer,6492fe188837ee33a22fed4d,64967aaa860a8ebaefe69a00,Sat Jun 24 2023 05:10:02 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:12:55 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),http://www.scenestealer.tv/,B2B,Marketing Automation,Brighton,UK,
Schlumberger,schlumberger,6492fe188837ee33a22fed4d,64967879aace6d8ddffd0060,Sat Jun 24 2023 05:00:41 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:13:23 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),https://www.software.slb.com/,B2B,Energy Services & Equipment,London,UK,
Spotler,spotler,6492fe188837ee33a22fed4d,649679fe246701a71ce9d1a4,Sat Jun 24 2023 05:07:10 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:13:06 GMT+0000 (Coordinated Universal Time),Sat Jun 24 2023 05:33:18 GMT+0000 (Coordinated Universal Time),https://spotler.co.uk/,B2B,Marketing Automation,Brighton,UK,
