Skill,Slug,Collection ID,Item ID,Created On,Updated On,Published On
Accessibility,accessibility,63020a6ad41103c21ed74167,6413cae724cfc21d48f1b17c,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Tue Jul 18 2023 05:51:30 GMT+0000 (Coordinated Universal Time),Tue Jul 18 2023 05:51:50 GMT+0000 (Coordinated Universal Time)
Agile Methodologies,agile-methodologies,63020a6ad41103c21ed74167,6413cae79d689ff2fb09dfaa,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
"HTML, CSS & JS",code,63020a6ad41103c21ed74167,64980d741402de60d8573bd7,Sun Jun 25 2023 09:48:36 GMT+0000 (Coordinated Universal Time),Tue Jul 18 2023 05:50:04 GMT+0000 (Coordinated Universal Time),Tue Jul 18 2023 05:51:50 GMT+0000 (Coordinated Universal Time)
Content Design,content-design,63020a6ad41103c21ed74167,64980e1916a439bddb8c049c,Sun Jun 25 2023 09:51:21 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 09:51:21 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 10:13:32 GMT+0000 (Coordinated Universal Time)
Data Visualisation,data-visualisation,63020a6ad41103c21ed74167,64980ddce789129d1318f695,Sun Jun 25 2023 09:50:20 GMT+0000 (Coordinated Universal Time),Tue Jul 18 2023 05:50:17 GMT+0000 (Coordinated Universal Time),
Data Visualization,data-visualization,63020a6ad41103c21ed74167,6413cae7be9e524c66a5d320,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Tue Jul 18 2023 05:51:19 GMT+0000 (Coordinated Universal Time),
Design Leadership,design-leadership,63020a6ad41103c21ed74167,6413cae797f1d15204cb91b0,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Design Methodologies,design-methodologies,63020a6ad41103c21ed74167,6413cae72810c5a947d3be4c,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Design Operations,design-operations,63020a6ad41103c21ed74167,6413cae7f4c32ad168a729a0,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Design Strategy,design-strategy,63020a6ad41103c21ed74167,6413cae7fc983cdd5cb74804,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Design Systems,design-systems,63020a6ad41103c21ed74167,6413cae79741e4b62dab6453,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Design Thinking,design-thinking,63020a6ad41103c21ed74167,64980df9b759173dc6500847,Sun Jun 25 2023 09:50:49 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 09:50:49 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 10:13:32 GMT+0000 (Coordinated Universal Time)
Digital Transformation,digital-transformation,63020a6ad41103c21ed74167,64980ea0259b9b181d412b5a,Sun Jun 25 2023 09:53:36 GMT+0000 (Coordinated Universal Time),Tue Jul 18 2023 05:51:37 GMT+0000 (Coordinated Universal Time),
Information Architecture,information-architecture,63020a6ad41103c21ed74167,6413cae79741e43935ab6454,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Interaction Design,interaction-design,63020a6ad41103c21ed74167,6413cae7f4c32a3355a729a8,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Interface Design,interface-design,63020a6ad41103c21ed74167,6413cae71aacf0fb2becb9c2,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Internet of Things (IoT),internet-of-things,63020a6ad41103c21ed74167,6413cae71aacf01a47ecb9c4,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Tue Jul 18 2023 05:50:59 GMT+0000 (Coordinated Universal Time),
Journey Mapping,journey-mapping,63020a6ad41103c21ed74167,6413cae7be9e52cb45a5d329,Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:27 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Lean UX,lean-ux,63020a6ad41103c21ed74167,64980df13a344d8f4aef7139,Sun Jun 25 2023 09:50:41 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 09:50:41 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 10:13:32 GMT+0000 (Coordinated Universal Time)
People Management,people-management,63020a6ad41103c21ed74167,64981a5e2b48a0c9cd700b37,Sun Jun 25 2023 10:43:42 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 10:43:42 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 10:43:48 GMT+0000 (Coordinated Universal Time)
Persuasive Communication,persuasive-communication,63020a6ad41103c21ed74167,64980e66202d925b04c81e23,Sun Jun 25 2023 09:52:38 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 09:53:54 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 10:13:32 GMT+0000 (Coordinated Universal Time)
Product Design,product-design,63020a6ad41103c21ed74167,6413cae89d689f117309dfac,Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Rapid Prototyping,rapid-prototyping,63020a6ad41103c21ed74167,6413cae80ee69ab18fa7e91d,Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Service Design,service-design,63020a6ad41103c21ed74167,6413cae80eac7c0dd4ee38c7,Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Stakeholder Engagement,stakeholder-engagement,63020a6ad41103c21ed74167,6413cae82810c51ca6d3be4e,Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
Career Development,team-management,63020a6ad41103c21ed74167,6413cae89741e48690ab645e,Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 10:43:29 GMT+0000 (Coordinated Universal Time),Sun Jun 25 2023 10:43:48 GMT+0000 (Coordinated Universal Time)
Usability Testing,usability-testing,63020a6ad41103c21ed74167,6413cae825deb17304f3e643,Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
UX Research,ux-research,63020a6ad41103c21ed74167,6413cae8cf050a4c0e7de89b,Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Fri Mar 17 2023 02:05:28 GMT+0000 (Coordinated Universal Time),Wed Jun 21 2023 10:12:05 GMT+0000 (Coordinated Universal Time)
